,고객ID,고객유형,거주지,시,구군,남여구분,판매유형,계약유형,유통경로,계약일,계약기간,납부유형,제품군,월랜탈비용,계약상태,연체건수,연체여부,결제은행,해약여부,계정수
1541,25740684,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,3,있음,농협회원조합,정상,2
1542,25707243,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,프로모션,서비스 방문,11-14-2014,60,CMS,DES-1,124200,계약확정,0,없음,우리은행,정상,1
1543,25724724,사업자,서울특별시,서울특별시, 강남구,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,1
1544,25855201,사업자,서울특별시,서울특별시, 강북구,남자,멤버십,멤버십S,렌탈재계약,11-14-2014,12,CMS,DES-1,66900,해약확정,0,없음,국민은행,해약,1
1545,25740771,사업자,서울특별시,서울특별시, 강서구,여자,렌탈,일반,서비스 방문,11-14-2014,36,CMS,DES-2,102900,계약확정,0,없음,국민은행,정상,1
1546,25838036,사업자,경기도,인천광역시, 계양구,여자,렌탈,교체렌탈,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,1
1547,25740602,사업자,경기도,경기도, 고양시 덕양구,여자,렌탈,프로모션,렌탈총판,11-14-2014,60,CMS,DES-1,105900,계약확정,0,없음,농협중앙회,정상,1
1548,25740668,사업자,경기도,경기도, 고양시 덕양구,여자,렌탈,프로모션,홈쇼핑/방송,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
1549,25740627,사업자,경기도,경기도, 고양시 일산동구,여자,렌탈,일반,영업방판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,1
1550,25814947,사업자,전라도,전라도, 고창군,여자,렌탈,교체렌탈,서비스 방문,11-14-2014,60,CMS,DES-1,102900,계약확정,0,없음,농협회원조합,정상,1
1551,25740826,사업자,경기도,경기도, 광명시,여자,렌탈,프로모션,일반,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,1
1552,25792127,사업자,전라도,광주광역시, 광산구,여자,멤버십,멤버십S,렌탈재계약,11-14-2014,12,CMS,DES-1,66900,계약확정,0,없음,농협중앙회,정상,3
1553,25792127,사업자,전라도,광주광역시, 광산구,여자,멤버십,멤버십S,렌탈재계약,11-16-2014,12,CMS,DES-1,66900,계약확정,0,없음,농협중앙회,정상,3
1554,25792127,사업자,전라도,광주광역시, 광산구,여자,렌탈,일반,서비스 방문,11-26-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,3
1555,25740638,사업자,서울특별시,서울특별시, 광진구,여자,렌탈,통합 패키지,렌탈총판,11-14-2014,60,CMS,DES-1,89400,계약확정,0,없음,국민은행,정상,2
1556,25740638,사업자,서울특별시,서울특별시, 광진구,여자,렌탈,통합 패키지,렌탈총판,11-14-2014,60,CMS,DES-2,89400,계약확정,0,없음,국민은행,정상,2
1557,25741181,사업자,전라도,전라도, 군산시,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,신협중앙회,정상,1
1558,25855157,사업자,전라도,전라도, 군산시,여자,멤버십,멤버십S,렌탈재계약,11-14-2014,12,CMS,DES-1,66900,계약확정,0,없음,농협중앙회,정상,1
1559,25740574,사업자,경기도,경기도, 군포시,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,우리은행,정상,1
1560,25875074,사업자,경기도,인천광역시, 남동구,여자,렌탈,일반,렌탈총판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,농협중앙회,정상,1
1561,25841828,사업자,경기도,경기도, 남양주시,여자,멤버십,멤버십S,렌탈재계약,11-14-2014,12,CMS,DES-1,66900,계약확정,0,없음,외환은행,정상,1
1562,25739544,사업자,서울특별시,서울특별시, 노원구,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,우리은행,정상,1
1563,25740610,사업자,경기도,경기도, 부천시 원미구,여자,렌탈,통합 패키지,렌탈총판,11-14-2014,60,CMS,DES-1,81900,계약확정,0,없음,우리은행,정상,2
1564,25740610,사업자,경기도,경기도, 부천시 원미구,여자,렌탈,통합 패키지,렌탈총판,11-14-2014,60,CMS,DES-2,81900,계약확정,0,없음,우리은행,정상,2
1565,25741141,사업자,경기도,경기도, 부천시 원미구,여자,렌탈,프로모션,렌탈총판,11-14-2014,60,CMS,DES-1,124200,계약확정,0,없음,국민은행,정상,1
1566,25740600,사업자,경상도,대구광역시, 북구,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-2,87900,계약확정,0,없음,대구은행,정상,1
1567,25741116,사업자,경상도,부산광역시, 사상구,여자,렌탈,일반,서비스 방문,11-14-2014,60,CMS,DES-3A,102900,계약확정,0,없음,대구은행,정상,1
1568,25740607,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,프로모션,R농협,11-14-2014,36,가상계좌,DES-1,117900,계약확정,0,없음,국민은행,정상,6
1569,25740607,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,프로모션,R농협,11-14-2014,36,가상계좌,DES-1,117900,계약확정,0,없음,국민은행,정상,6
1570,25740607,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,일반,서비스 방문,12-22-2014,60,카드이체,DES-1,142200,계약확정,0,없음,국민카드,정상,6
1571,25740607,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,프로모션,R농협,12-29-2014,36,가상계좌,DES-1,117900,계약확정,0,없음,신한은행,정상,6
1572,25740607,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,일반,R농협,01-13-2015,36,카드이체,DES-3A,126900,계약확정,0,없음,NH농협카드,정상,6
1573,25740607,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,일반,R농협,01-13-2015,36,카드이체,DES-3A,126900,계약확정,0,없음,NH농협카드,정상,6
1574,25740589,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,일반,영업방판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,신한은행,정상,3
1575,25740589,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,일반,영업방판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,신한은행,정상,3
1576,25740589,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,프로모션,영업방판,11-14-2014,60,CMS,DES-1,142200,계약확정,0,없음,신한은행,정상,3
1577,25740613,사업자,서울특별시,서울특별시, 서초구,여자,렌탈,일반,렌탈총판,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,신한은행,정상,1
1578,25732535,사업자,서울특별시,서울특별시, 서초구,여자,렌탈,통합 패키지,서비스 방문,11-14-2014,60,CMS,DES-1,89400,계약확정,0,없음,국민은행,정상,2
1579,25732535,사업자,서울특별시,서울특별시, 서초구,여자,렌탈,통합 패키지,서비스 방문,11-14-2014,60,CMS,DES-2,89400,계약확정,0,없음,국민은행,정상,2
1580,25740835,사업자,서울특별시,서울특별시, 서초구,여자,렌탈,프로모션,일반,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,하나은행,정상,1
1581,25740585,사업자,경기도,경기도, 성남시 분당구,여자,렌탈,프로모션,하이마트,11-14-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,1
1582,25740586,사업자,경기도,경기도, 성남시 분당구,여자,렌탈,프로모션,서비스 방문,11-14-2014,60,CMS,DES-1,111900,계약확정,0,없음,신한은행,정상,1
1583,25855167,사업자,서울특별시,서울특별시, 성동구,여자,멤버십,멤버십S,렌탈재계약,11-14-2014,12,CMS,DES-1,66900,계약확정,0,없음,기업은행,정상,1
1584,25740556,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,프로모션,일반,11-14-2014,60,CMS,DES-1,127200,계약확정,0,없음,우리은행,정상,1
1585,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,11-14-2014,60,CMS,DES-1,142200,계약확정,0,없음,농협중앙회,정상,10
1586,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,11-14-2014,60,CMS,DES-1,142200,계약확정,0,없음,농협중앙회,정상,10
1587,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-18-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,10
1588,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-18-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,10
1589,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-18-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,10
1590,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-18-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,10
1591,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-24-2014,60,CMS,DES-1,142200,계약확정,0,없음,농협중앙회,정상,10
1592,25758946,사업자,전라도,전라도, 순천시,여자,렌탈,프로모션,서비스 방문,12-29-2014,60,CMS,DES-2,90900,계약확정,0,없음,농협중앙회,정상,10
